SMILES,values
CCCn1ccc(CN(C)C)n1.NS(=O)(=O)c1ccccc1,3.3431643049775035
CN(C)C[C@H](O)CO.CCN(C)C(=O)c1ccccc1,3.286688741078029
CN(C)CC(=O)O.NS(=O)(=O)c1ccccc1,3.218425635275824
CN(C)CCc1ccc(C(C)(C)C)cc1.NS(=O)(=O)c1ccccc1,3.163186682207777
CN(C)Cc1cn(-c2ccccc2)nn1.CCN(C)C(=O)c1ccccc1,3.139771264797606
CN(C)Cc1cn(-c2ccccc2)nn1.NS(=O)(=O)c1ccccc1,3.12103507548803
CN(C)Cc1cnc2[nH]ccc2c1.NS(=O)(=O)c1ccccc1,3.0962602950435514
CN(C)C[C@@]1(C)C[C@@H]1c1ccccc1.NS(=O)(=O)c1ccccc1,2.962035143670571
CCCn1ccc(CN(C)C)n1.CCN(C)C(=O)c1ccccc1,2.9188349471934725
CN(C)Cc1ccc(C(C)(C)O)cc1.NS(=O)(=O)c1ccccc1,2.9034769294633
CN(C)Cc1cn2c(n1)CCC2.NS(=O)(=O)c1ccccc1,2.847882298621464
CN(C)CCCc1ccc(C#N)cc1.CCN(C)C(=O)c1ccccc1,2.8287747713485847
CN(C)Cc1ccc(-c2nn[nH]n2)cc1.CCN(C)C(=O)c1ccccc1,2.800556977933234
CN(C)Cc1cc2sccc2s1.CCN(C)C(=O)c1ccccc1,2.7918201399573235
CN(C)CC1(C#N)CC1.NS(=O)(=O)c1ccccc1,2.7774776350247325
Cc1cc(C)c(C)c(CN(C)C)c1C.NS(=O)(=O)c1ccccc1,2.7689038107355444
CNC(=O)[C@@H]1[C@H](c2ccccc2)CCN1C.NS(=O)(=O)c1ccccc1,2.740812681424005
CNC(=O)[C@H]1[C@@H](c2ccccc2)CCN1C.NS(=O)(=O)c1ccccc1,2.740812681424005
CNC(=O)[C@@H]1[C@@H](c2ccccc2)CCN1C.NS(=O)(=O)c1ccccc1,2.740812681424005
CN(C)Cc1ccnc(O)c1.NS(=O)(=O)c1ccccc1,2.7286515762439776
CCn1cc(S(=O)(=O)N(C)C)cn1.NS(=O)(=O)c1ccccc1,2.7125615199025357
CN(C)S(=O)(=O)c1nnc[nH]1.NS(=O)(=O)c1ccccc1,2.692819506965365
CN(C)Cc1cnc2[nH]ccc2c1.CCN(C)C(=O)c1ccccc1,2.6633448532867643
CN(C)CC1(C#N)CC1.CCN(C)C(=O)c1ccccc1,2.6630517184583233
CN(C)CCCc1ccc(C#N)cc1.NS(=O)(=O)c1ccccc1,2.6481998527161945
C#Cc1cccc(CN(C)C)c1.NS(=O)(=O)c1ccccc1,2.626629626325961
COC(C)(C)CCN(C)C.NS(=O)(=O)c1ccccc1,2.6259583876486756
C=CC=CS(=O)(=O)N(C)C.NS(=O)(=O)c1ccccc1,2.6245216613804283
COC(=O)c1cc(CN(C)C)cn1C.NS(=O)(=O)c1ccccc1,2.6183622555677166
CN(C)CC1CCOCC1.CCN(C)C(=O)c1ccccc1,2.6070485328222786
CCn1ncc(S(=O)(=O)N(C)C)c1C.NS(=O)(=O)c1ccccc1,2.606323953233074
Cc1cc(C)c(C)c(CN(C)C)c1C.CCN(C)C(=O)c1ccccc1,2.6044952461904933
CN(C)S(=O)(=O)c1cnnn1C.NS(=O)(=O)c1ccccc1,2.603975008274128
CN(C)Cc1csnn1.CCN(C)C(=O)c1ccccc1,2.5898507244580595
CN(C)Cc1cc2sccc2s1.NS(=O)(=O)c1ccccc1,2.5849788910963767
CCn1cnc(S(=O)(=O)N(C)C)c1.NS(=O)(=O)c1ccccc1,2.5592905419611287
CN(C)CC(C)(C)c1ccccc1.CCN(C)C(=O)c1ccccc1,2.520374296341437
Cc1nc(S(=O)(=O)N(C)C)cn1C.NS(=O)(=O)c1ccccc1,2.491458196967328
Cc1cnc(N)c(S(=O)(=O)N(C)C)c1.NS(=O)(=O)c1ccccc1,2.4893363506245585
CN(C)C[C@@]1(C)C[C@@H]1c1ccccc1.CCN(C)C(=O)c1ccccc1,2.4856851217709375
COC(=O)CCCN(C)C.NS(=O)(=O)c1ccccc1,2.472241213711827
CNC(=O)[C@H]1[C@H](c2ccccc2)CN1C.CCN(C)C(=O)c1ccccc1,2.4722407951731946
CNC(=O)[C@H]1[C@@H](c2ccccc2)CN1C.CCN(C)C(=O)c1ccccc1,2.4722407951731946
CN(C)CC1CCC1.NS(=O)(=O)c1ccccc1,2.4704318718686817
CN(C)Cc1cc[n+]([O-])cc1.CCN(C)C(=O)c1ccccc1,2.4503929777064832
C=CC=CS(=O)(=O)N(C)C.CCN(C)C(=O)c1ccccc1,2.4470098130343048
CNC(=O)[C@@H]1[C@H](c2ccccc2)CCN1C.CCN(C)C(=O)c1ccccc1,2.444144180187906
CNC(=O)[C@@H]1[C@@H](c2ccccc2)CCN1C.CCN(C)C(=O)c1ccccc1,2.444144180187906
CNC(=O)[C@H]1[C@H](c2ccccc2)CCN1C.CCN(C)C(=O)c1ccccc1,2.444144180187906
